"","Member","Constituency","Party","Vote386","Vote387","Vote388","Vote389","Vote390","Vote391","Vote392","Vote393","Percentage"
"4","Bim Afolami","Hitchin and Harpenden","Con","No","Aye","Aye","No Vote","No","No","No","No Vote",0.398
"9","Heidi Allen","South Cambridgeshire","Ind","No","No","No","No","No","Aye","Aye","No Vote",0.385
"14","Tonia Antoniazzi","Gower","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.493
"17","Victoria Atkins","Louth and Horncastle","Con","No","No","No","No","No","No","No","No",0.689
"20","Kemi Badenoch","Saffron Walden","Con","No Vote","No","No","No","No","No","No","Aye",0.512
"25","Hannah Bardell","Livingston","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.433
"36","Clive Betts","Sheffield South East","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.663
"40","Kirsty Blackman","Aberdeen North","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.431
"44","Nick Boles","Grantham and Stamford","Con","No","Aye","Aye","Aye","No","No","No Vote","No",0.61
"45","Peter Bone","Wellingborough","Con","Aye","No","No","No","No","No","No","Aye",0.63
"47","Andrew Bowie","West Aberdeenshire and Kincardine","Con","No","No","No","No","No","No","No","No",0.392
"54","Suella Braverman","Fareham","Con","Aye","No","No","No","No","No","No","Aye",0.555
"58","Steve Brine","Winchester","Con","No","Aye","Aye","Aye","No","No Vote","No Vote","No",0.396
"59","Deidre Brock","Edinburgh North and Leith","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.218
"60","James Brokenshire","Old Bexley and Sidcup","Con","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote",0.624
"67","Robert Buckland","South Swindon","Con","No","No","No","No","No","No","No","No",0.517
"68","Richard Burden","Birmingham, Northfield","Lab","No","Aye","No","Aye","Aye","No Vote","Aye","No",0.618
"70","Richard Burgon","Leeds East","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.614
"73","Dawn Butler","Brent Central","Lab","No","No Vote","No","Aye","Aye","No Vote","Aye","No",0.429
"76","Ruth Cadbury","Brentford and Isleworth","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.433
"82","Dan Carden","Liverpool, Walton","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.522
"84","James Cartlidge","South Suffolk","Con","No","Aye","Aye","No","No","No","No","No",0.54
"88","Sarah Champion","Rotherham","Lab","No","No","No","Aye","Aye","No","No","No",0.683
"91","Bambos Charalambous","Enfield, Southgate","Lab","No","Aye","No Vote","Aye","Aye","Aye","Aye","No",0.379
"95","Jo Churchill","Bury St Edmunds","Con","No","No","No","No","No","No","No","No",0.54
"98","Kenneth Clarke","Rushcliffe","Con","No","Aye","No","Aye","Aye","Aye","No Vote","No",0.415
"99","Simon Clarke","Middlesbrough South and East Cleveland","Con","Aye","No","No","No","No","No","No","Aye",0.653
